shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_536_1,24.8344,125.21426,180014
shapes_536_1,24.83381,125.21453,180015
shapes_536_1,24.83326,125.21468,180016
shapes_536_1,24.83297,125.21484,180017
shapes_536_1,24.83259,125.21509,180018
shapes_536_1,24.83223,125.21544,180019
shapes_536_1,24.83199,125.21561,180020
shapes_536_1,24.83188,125.2157,180021
shapes_536_1,24.83166,125.21587,180022
shapes_536_1,24.83124,125.21611,180023
shapes_536_1,24.83099,125.21623,180024
shapes_536_1,24.83044,125.21651,180025
shapes_536_1,24.83016,125.2167,180026
shapes_536_1,24.82938,125.2173,180027
shapes_536_1,24.82875,125.21779,180028
shapes_536_1,24.82839,125.2181,180029
shapes_536_1,24.82806,125.21838,180030
shapes_536_1,24.82762,125.21873,180031
shapes_536_1,24.82745,125.21882,180032
shapes_536_1,24.8273,125.21888,180033
shapes_536_1,24.82702,125.21895,180034
shapes_536_1,24.82679,125.21898,180035
shapes_536_1,24.82661,125.21898,180036
shapes_536_1,24.82613,125.21903,180037
shapes_536_1,24.82567,125.21906,180038
shapes_536_1,24.82511,125.21906,180039
shapes_536_1,24.82488,125.21907,180040
shapes_536_1,24.82448,125.2191,180041
shapes_536_1,24.82296,125.21937,180042
shapes_536_1,24.82222,125.21957,180043
shapes_536_1,24.82158,125.21972,180044
shapes_536_1,24.8214,125.21975,180045
shapes_536_1,24.82101,125.21968,180046
shapes_536_1,24.82003,125.22,180047
shapes_536_1,24.81949,125.22019,180048
shapes_536_1,24.81922,125.22024,180049
shapes_536_1,24.81896,125.22026,180050
shapes_536_1,24.81868,125.22024,180051
shapes_536_1,24.81809,125.22022,180052
shapes_536_1,24.81715,125.22012,180053
shapes_536_1,24.81686,125.22011,180054
shapes_536_1,24.81666,125.22014,180055
shapes_536_1,24.81652,125.22017,180056
shapes_536_1,24.8163,125.22028,180057
shapes_536_1,24.81607,125.22044,180058
shapes_536_1,24.81589,125.2206,180059
shapes_536_1,24.81555,125.22087,180060
shapes_536_1,24.81535,125.22101,180061
shapes_536_1,24.81525,125.22105,180062
shapes_536_1,24.81514,125.22108,180063
shapes_536_1,24.81499,125.22109,180064
